id,ward,name,address,lat,lng,coordinateSource,osmId,officialMapUrl,googleMapsSearchUrl,reviewStatus,note
0-1-東山公園,千種区,東山公園,千種区田代町字瓶杁、天白町大字植田字植田山、 東山元町３丁目、東山通５丁目、星が丘山手 名東区にじが丘一丁目、植園町１丁目、３丁目、 藤巻町２丁目、猪高町大字高針字大久手、 字荒田、山香町 天白区天白町大字八事字裏山,35.159222,136.976196,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/01.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E5%8D%83%E7%A8%AE%E5%8C%BA%20%E6%9D%B1%E5%B1%B1%E5%85%AC%E5%9C%92,,
0-55-天満緑道,千種区,天満緑道,千種区茶屋坂通２丁目、赤坂町１丁目、２丁目、 ３丁目、４丁目、５丁目、６丁目、７丁目、 天満通２丁目,35.183121,136.959366,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/01.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E5%8D%83%E7%A8%AE%E5%8C%BA%20%E5%A4%A9%E6%BA%80%E7%B7%91%E9%81%93,,
0-75-春里南公園,千種区,春里南公園,千種区春里町４丁目、日和町３丁目,35.169098,136.963715,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/01.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E5%8D%83%E7%A8%AE%E5%8C%BA%20%E6%98%A5%E9%87%8C%E5%8D%97%E5%85%AC%E5%9C%92,,
1-38-大幸緑道,東区,大幸緑道,東区砂田橋一丁目、砂田橋三丁目、砂田橋五丁目 千種区宮の腰町,35.187515,136.95668,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/02r6higashi.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E6%9D%B1%E5%8C%BA%20%E5%A4%A7%E5%B9%B8%E7%B7%91%E9%81%93,,
1-57-板屋水筒先公園,東区,板屋水筒先公園,東区葵二丁目,35.172085,136.925797,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/02r6higashi.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E6%9D%B1%E5%8C%BA%20%E6%9D%BF%E5%B1%8B%E6%B0%B4%E7%AD%92%E5%85%88%E5%85%AC%E5%9C%92,,
2-14-萩野公園,北区,萩野公園,北区大野町１丁目,35.204514,136.914688,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/03r6kita.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E5%8C%97%E5%8C%BA%20%E8%90%A9%E9%87%8E%E5%85%AC%E5%9C%92,,
2-17-水分橋緑地,北区,水分橋緑地,北区成願寺町字米ケ瀬、字西浦、字寺西、字北野、 安井町字河野、字薬師浦、米が瀬町 楠町大字味鋺字堂の前、字井之元、字政所、 字南山、字生棚、字南中田、字南合戸、 字冥加、字名栗、字天道,35.215679,136.917999,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/03r6kita.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E5%8C%97%E5%8C%BA%20%E6%B0%B4%E5%88%86%E6%A9%8B%E7%B7%91%E5%9C%B0,,
2-31-水分橋東緑地,北区,水分橋東緑地,北区楠町大字味鋺字外畑,35.222046,136.907867,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/03r6kita.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E5%8C%97%E5%8C%BA%20%E6%B0%B4%E5%88%86%E6%A9%8B%E6%9D%B1%E7%B7%91%E5%9C%B0,,
3-2-児玉公園,西区,児玉公園,西区万代町２丁目,35.198017,136.885513,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/04r6nishi.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E8%A5%BF%E5%8C%BA%20%E5%85%90%E7%8E%89%E5%85%AC%E5%9C%92,,
3-14-新福寺公園,西区,新福寺公園,西区新福寺町２丁目,35.205147,136.883835,gsi-address,,https://www.city.nagoya.jp/_res/projects/default_project/_page_/001/014/871/04r6nishi.pdf,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E8%A5%BF%E5%8C%BA%20%E6%96%B0%E7%A6%8F%E5%AF%BA%E5%85%AC%E5%9C%92,,
